"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"2/2/2023 12 a.m. EST",13561,13610,9840,-3721
ISNE,"2/2/2023 1 a.m. EST",13510,13020,9888,-3622
ISNE,"2/2/2023 2 a.m. EST",13353,12720,9480,-3873
ISNE,"2/2/2023 3 a.m. EST",13232,12610,9434,-3798
ISNE,"2/2/2023 4 a.m. EST",13269,12660,9564,-3705
ISNE,"2/2/2023 5 a.m. EST",13645,13050,9926,-3719
ISNE,"2/2/2023 6 a.m. EST",14204,13960,10856,-3348
ISNE,"2/2/2023 7 a.m. EST",15458,15520,12124,-3334
ISNE,"2/2/2023 8 a.m. EST",16289,16300,12611,-3678
ISNE,"2/2/2023 9 a.m. EST",15671,15650,11942,-3729
ISNE,"2/2/2023 10 a.m. EST",14606,14580,10911,-3695
ISNE,"2/2/2023 11 a.m. EST",13876,13720,10415,-3461
ISNE,"2/2/2023 12 p.m. EST",13757,13170,10123,-3634
ISNE,"2/2/2023 1 p.m. EST",13349,12680,9716,-3633
ISNE,"2/2/2023 2 p.m. EST",13290,12480,9961,-3329
ISNE,"2/2/2023 3 p.m. EST",13299,12900,10148,-3151
ISNE,"2/2/2023 4 p.m. EST",14077,13920,10756,-3321
ISNE,"2/2/2023 5 p.m. EST",15584,15660,12322,-3262
ISNE,"2/2/2023 6 p.m. EST",16813,16820,13339,-3474
ISNE,"2/2/2023 7 p.m. EST",16964,17010,13420,-3544
ISNE,"2/2/2023 8 p.m. EST",16610,16540,13153,-3457
ISNE,"2/2/2023 9 p.m. EST",16013,15840,12442,-3571
ISNE,"2/2/2023 10 p.m. EST",15214,15020,11304,-3910
ISNE,"2/2/2023 11 p.m. EST",14306,14000,10512,-3794
ISNE,"2/3/2023 12 a.m. EST",13507,13120,9975,-3532
ISNE,"2/3/2023 1 a.m. EST",13497,12680,9850,-3647
ISNE,"2/3/2023 2 a.m. EST",13225,12330,9950,-3275
ISNE,"2/3/2023 3 a.m. EST",13056,12170,10034,-3022
ISNE,"2/3/2023 4 a.m. EST",13083,12210,10082,-3001
ISNE,"2/3/2023 5 a.m. EST",12961,12550,9963,-2998
ISNE,"2/3/2023 6 a.m. EST",13430,13490,10598,-2832
ISNE,"2/3/2023 7 a.m. EST",15058,15130,11403,-3655
ISNE,"2/3/2023 8 a.m. EST",16051,16090,12293,-3758
ISNE,"2/3/2023 9 a.m. EST",15521,15530,11965,-3556
ISNE,"2/3/2023 10 a.m. EST",14525,14530,11597,-2928
ISNE,"2/3/2023 11 a.m. EST",13942,13950,11704,-2238
ISNE,"2/3/2023 12 p.m. EST",13748,13760,11735,-2013
ISNE,"2/3/2023 1 p.m. EST",13743,13760,11723,-2020
ISNE,"2/3/2023 2 p.m. EST",14039,14060,11965,-2074
ISNE,"2/3/2023 3 p.m. EST",14750,14800,12901,-1849
ISNE,"2/3/2023 4 p.m. EST",16209,16270,14351,-1858
ISNE,"2/3/2023 5 p.m. EST",17984,18040,16147,-1837
ISNE,"2/3/2023 6 p.m. EST",19267,19320,17395,-1872
ISNE,"2/3/2023 7 p.m. EST",19487,19500,18062,-1425
ISNE,"2/3/2023 8 p.m. EST",19252,19270,18216,-1036
ISNE,"2/3/2023 9 p.m. EST",18967,18980,17741,-1226
ISNE,"2/3/2023 10 p.m. EST",18843,18540,17445,-1398
ISNE,"2/3/2023 11 p.m. EST",18123,17750,16898,-1225
ISNE,"2/4/2023 12 a.m. EST",17453,16890,16100,-1353
ISNE,"2/4/2023 1 a.m. EST",16998,16680,15442,-1556
ISNE,"2/4/2023 2 a.m. EST",16402,16410,15305,-1097
ISNE,"2/4/2023 3 a.m. EST",16297,16290,15460,-837
ISNE,"2/4/2023 4 a.m. EST",16273,16240,15659,-614
ISNE,"2/4/2023 5 a.m. EST",16433,16440,15789,-644
ISNE,"2/4/2023 6 a.m. EST",16783,16800,16382,-401
ISNE,"2/4/2023 7 a.m. EST",17415,17450,17286,-129
ISNE,"2/4/2023 8 a.m. EST",17976,18000,17744,-232
ISNE,"2/4/2023 9 a.m. EST",17714,17700,16919,-795
ISNE,"2/4/2023 10 a.m. EST",16987,16990,16167,-820
ISNE,"2/4/2023 11 a.m. EST",16475,16460,15486,-989
ISNE,"2/4/2023 12 p.m. EST",16079,16080,15302,-777
ISNE,"2/4/2023 1 p.m. EST",16110,15800,15204,-906
ISNE,"2/4/2023 2 p.m. EST",16177,15850,14935,-1242
ISNE,"2/4/2023 3 p.m. EST",16898,16210,15382,-1516
ISNE,"2/4/2023 4 p.m. EST",17978,17680,16063,-1915
ISNE,"2/4/2023 5 p.m. EST",18639,18890,16760,-1879
ISNE,"2/4/2023 6 p.m. EST",19287,19500,17348,-1939
ISNE,"2/4/2023 7 p.m. EST",19092,19600,16913,-2179
ISNE,"2/4/2023 8 p.m. EST",18593,18820,16375,-2218
ISNE,"2/4/2023 9 p.m. EST",18037,18160,16004,-2033
ISNE,"2/4/2023 10 p.m. EST",17283,17370,15306,-1977
ISNE,"2/4/2023 11 p.m. EST",16390,16420,14002,-2388
ISNE,"2/5/2023 12 a.m. EST",15533,15630,12705,-2828
ISNE,"2/5/2023 1 a.m. EST",14846,14850,11800,-3046
ISNE,"2/5/2023 2 a.m. EST",14358,14370,11556,-2802
ISNE,"2/5/2023 3 a.m. EST",14054,14080,11476,-2578
ISNE,"2/5/2023 4 a.m. EST",13871,13890,11484,-2387
ISNE,"2/5/2023 5 a.m. EST",13795,13810,11240,-2555
ISNE,"2/5/2023 6 a.m. EST",13917,13960,11121,-2796
ISNE,"2/5/2023 7 a.m. EST",14299,14330,11174,-3125
ISNE,"2/5/2023 8 a.m. EST",14548,14570,11401,-3147
ISNE,"2/5/2023 9 a.m. EST",14404,14410,11270,-3134
ISNE,"2/5/2023 10 a.m. EST",13949,13580,11277,-2672
ISNE,"2/5/2023 11 a.m. EST",13605,13180,10740,-2865
ISNE,"2/5/2023 12 p.m. EST",13128,13010,10037,-3091
ISNE,"2/5/2023 1 p.m. EST",12997,12750,9802,-3195
ISNE,"2/5/2023 2 p.m. EST",13134,12780,10279,-2855
ISNE,"2/5/2023 3 p.m. EST",13613,13360,10654,-2959
ISNE,"2/5/2023 4 p.m. EST",14247,14110,11216,-3031
ISNE,"2/5/2023 5 p.m. EST",14813,15170,11905,-2908
ISNE,"2/5/2023 6 p.m. EST",15996,16350,13103,-2893
