Wind Generation (MWh),Solar Generation (MWh),Hydro Generation (MWh)
459,3,868
467,3,851
453,3,850
453,3,852
445,3,851
498,3,845
512,3,985
531,3,1271
519,20,1788
475,135,1402
427,266,959
405,315,889
388,323,854
347,341,849
417,333,874
417,276,908
486,169,952
525,35,1557
671,6,1768
799,6,1788
822,6,1780
862,5,1436
739,3,1012
806,3,928
782,3,903
812,3,852
852,3,857
849,3,851
890,3,843
798,3,790
918,3,805
982,3,921
1062,27,985
1049,173,972
1051,329,884
1080,397,912
1076,413,952
1046,410,950
1043,393,969
974,315,1018
918,188,1089
871,43,1685
842,7,1687
810,7,1950
768,6,1651
735,5,1124
695,5,865
664,5,810
649,5,825
635,5,807
614,5,789
608,5,771
596,5,754
590,5,727
584,5,1294
570,5,2119
562,28,2351
542,145,1825
557,261,1469
604,318,1204
618,348,1027
636,351,1080
657,334,936
645,239,1004
630,130,1122
618,28,1168
580,7,1112
544,7,960
531,7,1178
449,6,1264
385,5,1082
319,5,1255
281,5,850
317,5,738
319,5,769
364,5,959
350,5,1305
364,5,1076
382,5,936
357,5,895
355,23,876
331,114,901
286,234,876
249,298,830
262,330,834
247,309,817
276,229,827
228,200,871
247,123,931
292,33,1022
387,7,1710
374,7,1800
320,7,1298
325,6,1031
312,5,929
307,5,919
323,5,833
323,5,796
341,5,850
358,5,859
296,5,865
249,5,866
244,5,954
226,5,1350
165,16,1719
157,64,1370
218,132,1139
257,182,887
287,212,816
328,197,850
419,205,846
529,151,862
603,87,877
632,34,1079
730,6,2100
808,5,2006
763,5,1796
697,5,1486
642,5,998
609,5,889
589,5,886
507,5,861
463,5,846
489,5,831
516,5,797
479,5,785
429,5,838
422,5,1234
434,39,1889
420,192,1134
342,331,936
256,406,863
150,422,831
130,405,828
0,0,0
0,0,0
273,114,824
307,36,1549
423,9,1725
471,9,1684
526,9,1252
486,8,878
460,7,866
482,7,848
526,7,800
550,7,791
516,7,748
538,7,741
552,7,792
508,7,815
489,7,817
463,7,1064
504,23,1441
614,86,1066
612,132,898
630,167,852
699,195,848
723,272,794
878,341,821
907,317,870
910,215,878
861,63,941
898,11,1460
973,10,1678
956,10,1553
904,10,1158
954,9,900
932,9,809
865,9,774
